City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arraial Do Cabo,BR,2021-05-31 22:15:06,-22.9661,-42.0278,71.76,92,100,12.08
68,Punta Arenas,CL,2021-05-31 22:09:44,-53.15,-70.9167,35.71,64,0,5.03
69,Qui Nhon,VN,2021-05-31 22:15:07,13.7667,109.2333,81.34,79,35,3.56
70,Walvis Bay,NA,2021-05-31 22:15:08,-22.9575,14.5053,55.09,76,0,15.26
71,Poltava,UA,2021-05-31 22:15:08,49.5937,34.5407,48.88,76,100,11.32
72,Labrea,BR,2021-05-31 22:15:09,-7.2586,-64.7981,83.55,62,79,2.84
73,Erenhot,CN,2021-05-31 22:15:09,43.6475,111.9767,48.72,46,100,1.72
74,Husavik,IS,2021-05-31 22:15:10,66.0449,-17.3389,48.11,56,24,7.81
75,Tuatapere,NZ,2021-05-31 22:15:11,-46.1333,167.6833,42.28,87,54,3.94
76,Ust-Nera,RU,2021-05-31 22:15:11,64.5667,143.2,53.19,73,97,2.48
77,Ilinskiy,RU,2021-05-31 22:15:12,55.619,38.1182,47.91,71,0,4.47
78,Narsaq,GL,2021-05-31 22:13:18,60.9167,-46.05,46.62,79,44,4.21
79,Bambous Virieux,MU,2021-05-31 22:11:06,-20.3428,57.7575,70.21,73,5,8.19
80,Ponta Do Sol,PT,2021-05-31 22:14:38,32.6667,-17.1,67.01,81,63,3.69
81,Tuktoyaktuk,CA,2021-05-31 22:14:35,69.4541,-133.0374,33.4,77,98,9.44
82,Saint George,US,2021-05-31 22:14:14,37.1041,-113.5841,98.64,8,1,3.0
83,Villazon,BO,2021-05-31 22:15:13,-22.0866,-65.5942,47.79,13,52,6.64
84,Sisimiut,GL,2021-05-31 22:15:13,66.9395,-53.6735,37.0,79,75,8.21
85,Bengkulu,ID,2021-05-31 22:15:14,-3.8004,102.2655,75.22,93,99,3.85
86,Nuuk,GL,2021-05-31 22:11:26,64.1835,-51.7216,34.88,100,98,11.01
87,Prince Rupert,CA,2021-05-31 22:15:14,54.3161,-130.3201,57.29,91,90,16.11
88,Mirnyy,RU,2021-05-31 22:15:15,62.5353,113.9611,56.77,48,10,5.99
